Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
2850349,28,1873,589,161,71
2850376,20,280,115,3226,609
2850397,27,1364,417,162,80
2850450,39,5111,1055,245,85
2850538,30,348,110,1371,259
2850594,21,192,108,1236,350
2850671,28,485,104,6576,853
2850719,34,5435,1408,3311,641
2850746,25,714,157,3803,610
2900040,31,4898,1305,170,71
2900187,25,523,127,1054,334
2900195,23,5000,1133,1428,474
2900239,15,4166,867,1124,305
2900338,33,8316,1664,338,139
2900386,31,5692,1693,300,138
2900497,28,3957,747,216,89
2900561,34,389,201,3192,781
2900564,30,9513,2243,17795,2484
2900647,33,305,138,1520,363
2900671,28,2651,663,1063,312
2940017,34,176,71,6541,989
2940114,30,331,125,6503,1282
2940121,27,188,89,198,89
2940176,25,280,92,3543,899
2940180,42,5844,1346,231,96
2940196,36,611,184,8000,1612
2940253,36,332,113,1584,354
2940274,36,10062,1767,246,98
2940286,17,177,70,401,232
2940403,26,751,186,7550,1175
2940523,21,568,182,3159,949
2940546,29,1664,444,838,290
2940553,21,4099,789,2508,742
2940561,24,838,172,3499,675
2940575,34,4691,1303,1417,526
2940577,29,8476,2090,4037,1031
2940615,34,335,128,142,56
2940674,35,6936,1517,210,79
2940746,31,386,117,3805,1015
2970020,30,4948,1308,186,60
2970044,26,4525,1316,700,267
2970048,28,4529,876,2749,492
2970066,23,659,181,666,153
2970129,33,317,126,8142,1241
2970202,23,4120,653,10637,1159
2970253,17,4548,528,7180,872
2970315,28,9330,2359,279,107
2970338,33,233,69,2818,669
2970364,32,242,121,2635,863
2970392,29,193,85,2086,838
2970446,32,4002,953,183,78
2970520,30,11747,2209,299,123
2970612,31,3140,826,841,217
2970681,30,216,95,180,95
2970730,29,1448,286,1302,354
2970736,34,206,114,887,258
2970762,50,572,204,6226,1352
3060092,33,280,131,1238,332
3060136,39,5774,1874,1934,766
3060196,26,185,62,705,234
3060291,25,2836,1009,188,94
3060360,33,7087,1329,261,110
3060373,36,655,241,6937,1265
3060402,34,13195,2562,539,145
3060427,28,7356,1142,325,142
3060450,35,6396,1063,3675,860
3060494,32,428,218,397,204
3060524,32,284,124,1602,460
3060543,21,798,208,391,170
3060593,31,231,114,320,123
3060653,30,7274,2097,1381,629
3060687,28,458,188,202,100
3060717,17,9072,2529,486,219
3120075,25,1198,404,273,151
3120102,27,8395,2208,5448,1381
3120138,21,7920,1683,312,145
3120156,29,387,102,150,76
3120193,25,5769,1218,279,108
3120195,25,1634,414,10752,1464
3120309,36,206,99,1745,593
3120411,31,2498,756,3350,938
3120500,32,672,193,11819,1448
3120554,26,334,124,5535,947
3120609,29,1116,369,245,112
3120612,40,195,110,158,72
3120674,34,202,87,1501,426
3120711,25,458,196,5641,1204
3120730,28,7428,1735,841,379
3120735,31,5204,1012,236,120
3130097,39,4304,977,14864,2428
3130239,34,5674,1457,244,102
3130280,33,12210,2422,273,82
3130300,38,243,104,2530,646
3130309,39,6089,1217,244,101
3130360,28,23734,5628,2049,304
3130368,32,295,77,2324,368
3130370,25,5913,1124,202,51
3130504,31,315,119,1278,215
3130639,24,396,142,3068,964
3130653,32,7422,1544,210,97
3130671,33,5630,1249,1264,442
3130753,29,222,94,234,73
3140022,15,2408,715,184,62
3140086,29,6676,1368,228,93
3140091,28,230,93,1174,426
3140138,39,201,97,1272,592
3140148,35,7467,1718,232,96
3140152,35,166,86,170,78
3140180,33,1556,541,632,255
3140192,25,3664,865,210,95
3140278,37,289,107,2479,587
3140360,22,3595,885,222,97
3140689,24,323,145,1798,533
3140707,16,3314,320,161,87
3140767,36,9899,1908,544,232
3170059,32,878,240,11004,2150
3170066,39,5456,1313,3844,852
3170086,31,6318,1229,198,75
3170204,34,2394,604,1011,283
3170209,35,4004,986,189,81
3170392,27,8928,1500,241,85
3170446,27,246,119,179,89
3170519,25,888,334,190,76
3170563,29,11666,1947,463,155
3170600,36,338,129,3398,815
3170609,26,13192,2797,2021,602
3170687,32,490,154,11056,1568
3180021,29,13046,2344,530,205
3180075,24,580,217,574,183
3180113,26,2300,639,196,102
3180139,27,6057,1566,1278,398
3180408,31,15052,3417,388,160
3180431,28,189,104,190,95
3180471,37,278,103,2741,732
3180541,33,6974,1508,195,85
3180546,29,387,158,1848,524
3180592,33,7013,1883,236,88
3180601,26,237,132,283,99
3180670,23,320,64,1560,285
3180681,30,174,112,1885,584
3190040,30,4271,1016,246,128
3190128,35,243,112,1238,383
3190156,28,2759,768,1011,396
3190161,40,423,146,4440,892
3190168,25,1456,447,958,327
3190189,37,9500,1900,258,85
3190195,28,235,110,159,62
3190224,39,240,93,3575,984
3190347,29,409,119,3085,811
3190348,33,347,142,1311,380
3190458,27,414,136,3280,638
