Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
10040,29,6045,1022,184,78
10128,29,229,113,726,271
10193,39,10815,2269,412,138
10343,25,12412,2286,288,116
10360,36,635,179,11732,2723
10376,23,2950,838,332,134
10379,44,219,78,234,110
10402,28,285,153,1015,378
10470,30,4885,1051,2904,489
10471,38,288,120,1761,316
10592,34,288,109,4488,765
10609,27,749,196,270,115
10647,33,2731,564,1293,299
10670,29,905,370,3027,721
10711,44,1390,441,4780,1129
10717,19,1300,386,522,154
10767,40,936,309,9516,1867
20091,41,375,139,6159,1087
20114,28,303,95,3102,595
20128,31,217,84,187,75
20435,36,3820,924,1817,507
20440,31,458,134,189,92
20477,30,1657,555,2046,614
20669,41,7617,1582,245,102
20678,28,13700,2565,258,94
20682,32,2837,451,228,104
20692,31,6298,1650,288,57
20730,25,4880,1064,3866,792
20747,28,252,88,200,77
50056,25,4211,911,1611,400
50114,21,2813,536,164,85
50131,32,790,237,8601,1553
50132,35,724,175,7440,1951
50136,33,724,237,1271,414
50138,30,2408,549,206,90
50167,25,7864,2146,465,223
50296,28,663,226,2770,991
50332,32,5531,1121,5022,960
50356,30,434,141,12013,1703
50370,37,239,115,210,98
50373,28,6490,1430,208,77
50440,29,200,105,167,89
50497,41,245,113,832,244
50543,38,908,212,9554,1475
50706,17,586,115,4457,950
50750,22,904,280,1858,602
50767,35,4086,903,163,84
60053,31,252,111,2102,491
60102,19,12580,1788,235,45
60138,27,5304,1279,2693,644
60148,24,201,88,221,129
60184,28,231,104,5997,1213
60209,29,8449,1610,206,83
60358,42,4640,919,3205,805
60373,34,884,266,286,102
60463,29,10803,2171,2720,788
60551,33,603,234,184,92
60554,21,234,73,3604,844
60653,25,1344,359,430,131
60692,41,2698,455,25164,3213
70025,18,371,151,3704,733
70059,39,9487,1733,208,54
70167,26,4611,734,10419,1397
70273,33,5913,1156,222,76
70286,29,4860,1003,1519,308
70364,26,9102,1652,10026,1649
70370,20,230,117,4373,856
70379,36,651,170,4209,991
70392,25,2807,823,1715,565
70424,31,199,95,132,80
70440,41,6905,1509,4140,805
70441,26,5402,1052,492,143
70452,32,5647,1370,223,76
70465,32,251,124,6986,889
70471,23,3296,723,2350,582
70608,31,11941,2603,297,127
70750,35,7654,1678,7948,1491
70753,41,317,118,174,83
110079,45,2929,707,188,66
110082,37,414,143,231,113
110142,21,7069,1086,8478,893
110201,34,3162,1067,1272,377
110296,27,231,98,3675,1134
110403,30,2463,676,10693,2549
110445,31,491,169,3130,513
110477,32,646,148,6011,1064
110500,34,7814,1662,248,109
110626,27,281,103,3510,747
110678,30,7767,1318,993,405
110709,36,348,122,1269,301
110739,27,267,79,2543,988
110746,34,488,155,5089,1155
110767,43,13670,2610,379,147
130044,46,620,207,857,418
130121,51,7713,1637,3750,578
130128,32,3210,736,521,173
130196,20,8040,1444,229,97
130224,39,4263,981,219,94
130274,24,5783,1020,191,76
130341,34,1090,370,348,120
130373,42,4756,1172,4886,1149
130402,37,257,99,5316,956
130414,39,417,132,3559,723
130471,31,4615,1080,648,153
130626,30,1769,450,2439,546
130747,31,5538,1192,2734,545
130754,30,198,71,186,78
130762,30,5666,1315,360,134
130768,29,963,337,191,99
150070,39,2181,513,160,57
150152,19,5577,660,1597,425
150162,24,3758,1102,1039,280
150164,23,8879,2261,3064,621
150349,28,1173,228,950,211
150427,32,1966,439,1197,273
150438,32,186,71,192,93
150484,28,3158,720,13181,2344
150500,26,228,77,716,249
150600,30,299,134,7014,2015
150682,32,281,118,1000,301
150722,31,6270,1394,183,52
160022,34,9839,1732,6420,1029
160064,22,896,308,9326,1672
160068,37,4808,1010,7136,1092
160114,17,198,71,1000,312
160131,38,1208,319,266,95
160139,33,427,159,3514,944
160168,24,979,254,366,106
160253,35,1801,418,5452,1151
160356,31,309,136,2270,375
160468,22,349,128,1465,330
160707,22,4471,785,210,103
240047,49,6226,1158,8031,982
240056,14,875,155,142,62
240093,30,524,144,13480,2478
240136,26,3618,940,194,67
240138,31,5663,1209,248,123
240220,26,372,135,205,89
240301,23,8121,1093,1545,360
240332,33,2777,657,217,92
240408,21,9995,2183,345,157
240440,31,252,78,281,138
240519,26,6133,1600,226,91
240609,30,8626,2669,1250,609
240703,41,8741,1666,271,125
240739,37,191,138,158,72
270019,22,1554,320,181,80
270025,35,192,71,2260,595
270064,27,2164,343,174,72
270241,16,3606,964,191,52
270296,29,6003,1265,201,71
270370,23,406,137,223,103
270427,29,261,104,2051,436
270497,24,8743,1739,193,102
270528,32,256,123,231,89
270553,22,4227,1021,573,255
270678,31,3412,821,176,70
290010,27,210,88,2003,740
290019,31,2408,545,189,80
290040,38,6354,1264,8012,1469
290093,36,323,127,5307,1053
290095,37,9095,1660,264,90
290113,28,4081,795,766,290
290128,31,4901,1451,193,96
290301,37,1094,235,2748,583
290332,35,277,105,4615,933
290392,31,8406,1626,40520,4360
290427,26,9866,1807,3476,755
290452,25,3555,914,3089,732
290546,26,3400,572,188,76
290553,17,195,65,2068,531
290593,31,321,146,2683,735
290685,33,589,166,10279,1386
290709,24,219,117,181,103
360066,27,1553,441,636,259
360086,29,432,151,774,212
360152,23,4448,951,1065,307
360161,32,3833,757,1340,439
360189,26,246,117,3559,984
360209,16,1195,390,236,114
360224,20,4577,1375,245,87
360241,34,164,74,739,299
360291,27,230,99,1463,365
360309,21,5891,1081,233,113
360377,33,7748,1559,2625,707
360397,34,18075,2837,1097,425
360398,32,320,127,260,136
360403,32,558,176,5539,970
360441,30,264,99,2387,618
360450,22,192,59,365,147
360458,34,199,89,440,176
360474,31,5900,923,246,75
360519,41,3215,995,12981,3207
360537,39,10675,2298,330,125
360541,25,3559,629,203,84
360564,33,1684,441,4797,1269
360639,29,262,109,1057,331
360671,41,9506,2208,9334,1990
380047,20,190,87,462,149
380059,31,340,128,3013,772
380102,29,1196,278,595,199
380189,35,5159,976,1708,387
380315,30,3031,947,9199,1990
380328,29,6560,972,261,101
380398,34,1907,414,1234,441
380482,28,2948,773,193,129
380519,31,2911,769,331,107
380563,41,460,184,159,60
380626,28,3064,515,1239,460
380674,22,176,99,169,65
380681,33,2949,546,5506,1123
430026,24,317,168,1997,795
430092,34,576,190,832,222
430152,37,3536,887,1330,397
430196,36,495,99,5209,877
430242,33,11888,2206,416,102
430324,28,4874,611,4709,685
430390,30,7523,1508,302,98
430400,36,280,123,3856,792
430402,41,864,172,9376,1611
430414,35,17098,2632,394,116
430452,29,281,81,2337,564
430519,32,4458,1087,3711,855
430634,37,539,180,231,106
430647,30,2581,524,1450,427
430736,35,201,94,1319,413
430750,31,528,182,3797,714
430753,31,2919,667,351,145
450020,34,4947,1044,191,72
450022,31,658,215,4320,913
450095,30,425,124,822,267
450097,42,5724,1280,3656,794
450132,27,1816,388,416,138
450162,34,4466,825,179,76
450195,31,368,149,2001,716
450202,31,7094,1286,4816,1371
450253,25,6182,772,171,57
450411,39,6720,1556,222,81
450494,24,16465,3441,4068,673
450538,31,178,74,164,80
450608,37,265,94,990,326
450653,20,221,147,796,165
450687,31,2428,551,6109,1008
450731,24,7951,1935,174,82
450746,29,2863,539,473,199
450768,31,9829,2201,4566,1048
460014,41,8074,1509,9375,1160
460112,21,322,142,147,53
460148,21,248,134,286,91
460180,24,8000,1620,1200,422
460189,31,233,94,1172,282
460242,29,387,160,1935,586
460278,28,2588,658,1517,462
460324,30,12902,2683,436,224
460379,24,436,151,1192,237
460398,22,230,110,2227,664
460452,29,6359,1457,256,90
460523,27,1180,335,2421,537
460528,30,5297,1044,12941,1498
460544,33,9242,1861,255,88
460577,26,2698,582,1648,441
460615,24,1509,285,202,118
460632,42,11264,2500,4894,1103
460681,34,4893,948,2580,596
460750,24,310,113,784,260
460753,28,231,85,182,78
510064,38,746,231,4469,695
510068,29,157,78,182,109
510113,31,3701,554,16247,3190
510156,31,8108,1849,255,97
510168,32,2904,851,5385,1152
510202,24,177,96,376,143
510204,35,430,159,2200,632
510278,33,421,115,5461,802
510296,31,7085,1578,3937,756
510367,25,7653,1770,259,89
510470,28,1266,247,791,299
510538,36,5143,1010,5562,1053
510546,27,6923,1758,261,109
510563,31,250,118,630,177
510601,25,807,247,320,112
510646,27,266,94,2508,342
510672,24,10238,2356,1018,237
510711,34,293,110,1788,533
510736,22,4926,942,419,150
520092,26,5302,691,3505,925
520192,40,10995,2297,313,108
520202,35,6375,1534,1555,410
520373,23,4510,947,749,295
520433,32,3578,780,1477,390
520487,29,2049,587,201,86
520541,36,1075,248,4873,857
520563,24,4001,671,174,62
520592,31,387,155,1957,616
520626,25,771,263,202,105
540017,31,165,94,371,111
540048,39,10634,1774,1604,357
540168,36,3981,1247,1495,654
540181,31,525,182,2985,825
540192,37,270,108,3897,1036
540193,24,3156,567,277,161
540242,34,11547,2358,2051,510
540296,39,363,108,186,115
540561,29,207,82,172,84
540600,36,244,129,180,85
540609,34,10975,1813,9958,1361
540671,22,8310,1552,304,109
540681,30,5973,1591,280,118
540731,25,4064,1094,895,285
540739,27,1836,461,10722,2063
540743,32,1196,358,1121,425
580010,28,168,116,161,67
580148,26,3913,829,195,114
580164,30,270,110,1248,468
580189,34,6128,1304,1048,368
580324,22,197,58,210,109
580332,27,10597,2042,187,57
580338,34,325,161,2023,519
580358,42,8924,1882,306,128
580468,32,6442,1347,259,100
580474,38,10075,2293,323,115
580707,30,4335,1023,212,86
580725,35,16717,2709,1945,436
580746,29,206,107,910,343
610072,33,1299,295,248,103
610110,32,1542,460,8673,1863
610195,35,7350,1670,1327,307
610220,25,4252,764,1786,545
610332,46,580,183,9324,1595
610343,27,273,115,153,77
610433,37,904,232,8888,1433
610437,33,513,130,3550,764
610484,34,209,128,183,75
610541,41,252,110,6049,1229
610594,28,549,143,5020,990
610598,16,206,63,153,85
610681,22,159,76,304,119
610722,22,191,84,489,243
610735,20,5141,1180,181,65
630021,33,195,88,1087,317
630047,25,215,108,152,69
630154,25,275,100,6561,915
630292,23,6079,1234,249,103
630433,34,7787,1736,225,81
630537,35,12341,2314,829,230
630541,29,246,99,175,61
630639,26,16779,3997,2872,845
630689,31,547,186,4156,1971
630717,35,267,69,16861,2501
630735,38,668,309,4352,1224
650139,34,2972,630,3437,859
650242,33,5543,994,4077,945
650292,26,849,294,1702,629
650315,27,248,119,465,217
650372,32,219,96,165,79
650468,19,4766,969,252,98
650546,41,500,160,141,75
650554,33,222,98,179,110
650601,15,5386,1127,234,122
650725,40,376,119,9027,1692
650762,38,7637,1766,2198,470
670053,32,207,75,138,58
670075,39,1381,375,11463,2329
670138,28,4427,1102,1357,345
670240,33,534,167,173,79
670324,26,947,316,216,84
670341,24,261,89,3027,553
670368,34,4974,873,177,54
670369,25,5397,1206,281,131
670386,42,7609,1440,221,82
670400,29,810,218,3099,551
670497,25,180,118,1911,436
670598,30,209,109,261,109
670711,24,245,100,5407,1478
730047,28,536,172,4397,1047
730088,26,6980,1925,1541,574
730093,33,277,84,3088,599
730102,26,1773,553,176,91
730154,32,1455,488,6833,1269
730204,37,237,82,3024,683
730300,33,824,213,356,148
730360,34,5574,1488,4833,760
730367,35,3224,620,6189,1053
730369,28,8392,1604,281,102
730400,27,4772,1007,198,77
730414,28,165,42,160,88
730470,25,285,77,3100,625
730477,24,6465,1064,598,176
730484,41,6088,1558,218,106
730546,17,210,100,1457,313
730561,23,9325,1731,274,76
730577,32,2987,861,1458,482
730692,26,3365,640,204,92
730743,27,203,94,728,185
770037,25,2273,569,263,141
770100,27,468,130,2575,868
770161,27,9419,1332,251,78
770280,28,437,130,5137,495
770408,18,2754,676,206,70
770411,27,212,79,190,71
770438,22,508,196,201,65
