arrayNames	no.beads	chip	row	col	noiseIntensity	Sample.Plate	Sample.Name	AMP.Plate	Sample.Well	Parent1	Parent2	PedigreeID
X4469076649_I	4469076649_I	444271	4469076649	I	1	1.3419225	sms_05	004_507_0087	WG0011116-MSA2	G11	100400000	100050700	100450704
X4469076649_J	4469076649_J	427966	4469076649	J	1	1.2281139	sms_05	004_507_0088	WG0011116-MSA2	H11	100400000	100050700	100450705
X4469076695_I	4469076695_I	565010	4469076695	I	1	1.5003374	sms_05	004_507_0085	WG0011116-MSA2	E11	100400000	100050700	100450702
X4469076695_J	4469076695_J	554844	4469076695	J	1	1.6297654	sms_05	004_507_0086	WG0011116-MSA2	F11	100400000	100050700	100450703
X4469076695_K	4469076695_K	557037	4469076695	K	1	1.7393250	sms_05	004_507_0092	WG0011116-MSA2	E12	100400000	100050700	100450709
X4469076695_L	4469076695_L	519407	4469076695	L	1	1.3700942	sms_05	004_507_0093	WG0011116-MSA2	F12	100400000	100050700	100450710
X4469076697_L	4469076697_L	507780	4469076697	L	1	1.0233369	sms_05	004_507_0089	WG0011116-MSA2	B12	100400000	100050700	100450706
X4469076716_J	4469076716_J	562139	4469076716	J	1	1.1281507	sms_05	004_507_0084	WG0011116-MSA2	D11	100400000	100050700	100450701
X4469076716_K	4469076716_K	567055	4469076716	K	1	0.8434330	sms_05	004_507_0090	WG0011116-MSA2	C12	100400000	100050700	100450707
X4469076505_A	4469076505_A	561583	4469076505	A	1	0.8440094	sms_06	004_508_0102	WG0011115-MSA2	G01	100400000	100050800	100450809
X4469076505_B	4469076505_B	485171	4469076505	B	1	0.8999515	sms_06	004_508_0103	WG0011115-MSA2	H01	100400000	100050800	100450810
X4469076649_K	4469076649_K	477994	4469076649	K	1	0.8513324	sms_05	004_508_0094	WG0011116-MSA2	G12	100400000	100050800	100450801
X4469076649_L	4469076649_L	485202	4469076649	L	1	0.7228709	sms_05	004_508_0095	WG0011116-MSA2	H12	100400000	100050800	100450802
