arrayNames	no.beads	chip	row	col	noiseIntensity	Sample.Plate	Sample.Name	AMP.Plate	Sample.Well	Parent1	Parent2	PedigreeID
X4469076678_A	4469076678_A	537514	4469076678	A	1	0.9853465	sms_06	004_508_0098	WG0011115-MSA2	C01	100400000	100050800	100450805
X4469076678_B	4469076678_B	542077	4469076678	B	1	0.9480674	sms_06	004_508_0099	WG0011115-MSA2	D01	100400000	100050800	100450806
X4469076795_A	4469076795_A	550322	4469076795	A	1	1.2612345	sms_06	004_508_0096	WG0011115-MSA2	A01	100400000	100050800	100450803
X4469076795_C	4469076795_C	562733	4469076795	C	1	1.0460501	sms_06	004_508_0104	WG0011115-MSA2	A02	100400000	100050800	100450811
X4469076795_D	4469076795_D	539627	4469076795	D	1	1.1135860	sms_06	004_508_0105	WG0011115-MSA2	B02	100400000	100050800	100450812
X4469076838_A	4469076838_A	525459	4469076838	A	1	0.9936907	sms_06	004_508_0100	WG0011115-MSA2	E01	100400000	100050800	100450807
X4469076838_B	4469076838_B	527523	4469076838	B	1	0.9682903	sms_06	004_508_0101	WG0011115-MSA2	F01	100400000	100050800	100450808
X4469076505_I	4469076505_I	563211	4469076505	I	1	1.0516281	sms_06	006_511_0134	WG0011115-MSA2	G05	100600000	100051100	100651105
X4469076505_J	4469076505_J	543978	4469076505	J	1	1.0866780	sms_06	006_511_0135	WG0011115-MSA2	H05	100600000	100051100	100651106
X4469076678_I	4469076678_I	516133	4469076678	I	1	1.2605727	sms_06	006_511_0130	WG0011115-MSA2	C05	100600000	100051100	100651101
X4469076678_J	4469076678_J	474335	4469076678	J	1	1.2953599	sms_06	006_511_0131	WG0011115-MSA2	D05	100600000	100051100	100651102
X4469076678_K	4469076678_K	514559	4469076678	K	1	1.3278920	sms_06	006_511_0138	WG0011115-MSA2	C06	100600000	100051100	100651109
X4469076678_L	4469076678_L	505299	4469076678	L	1	1.0247799	sms_06	006_511_0139	WG0011115-MSA2	D06	100600000	100051100	100651110
X4469076795_K	4469076795_K	550253	4469076795	K	1	1.2061011	sms_06	006_511_0136	WG0011115-MSA2	A06	100600000	100051100	100651107
X4469076795_L	4469076795_L	504089	4469076795	L	1	0.9492643	sms_06	006_511_0137	WG0011115-MSA2	B06	100600000	100051100	100651108
X4469076838_I	4469076838_I	545494	4469076838	I	1	1.1151076	sms_06	006_511_0132	WG0011115-MSA2	E05	100600000	100051100	100651103
X4469076838_J	4469076838_J	537189	4469076838	J	1	1.0833834	sms_06	006_511_0133	WG0011115-MSA2	F05	100600000	100051100	100651104
X4469076838_K	4469076838_K	533287	4469076838	K	1	1.0212395	sms_06	006_511_0140	WG0011115-MSA2	E06	100600000	100051100	100651111
X4469076505_K	4469076505_K	566418	4469076505	K	1	1.0389234	sms_06	006_512_0142	WG0011115-MSA2	G06	100600000	100051200	100651202
X4469076505_L	4469076505_L	522210	4469076505	L	1	0.8789343	sms_06	006_512_0143	WG0011115-MSA2	H06	100600000	100051200	100651203
X4469076717_A	4469076717_A	574849	4469076717	A	1	1.1018704	sms_06	006_512_0146	WG0011115-MSA2	C07	100600000	100051200	100651206
X4469076717_B	4469076717_B	571667	4469076717	B	1	0.8654470	sms_06	006_512_0147	WG0011115-MSA2	D07	100600000	100051200	100651207
X4469076717_C	4469076717_C	573262	4469076717	C	1	0.8360734	sms_06	006_512_0154	WG0011115-MSA2	C08	100600000	100051200	100651214
X4469076740_A	4469076740_A	573569	4469076740	A	1	1.2595786	sms_06	006_512_0150	WG0011115-MSA2	G07	100600000	100051200	100651210
X4469076740_B	4469076740_B	526133	4469076740	B	1	1.0196669	sms_06	006_512_0151	WG0011115-MSA2	H07	100600000	100051200	100651211
X4469076802_A	4469076802_A	513683	4469076802	A	1	1.0624746	sms_06	006_512_0148	WG0011115-MSA2	E07	100600000	100051200	100651208
X4469076802_B	4469076802_B	523153	4469076802	B	1	1.0293746	sms_06	006_512_0149	WG0011115-MSA2	F07	100600000	100051200	100651209
X4469076821_A	4469076821_A	513511	4469076821	A	1	0.9867986	sms_06	006_512_0144	WG0011115-MSA2	A07	100600000	100051200	100651204
X4469076821_B	4469076821_B	504292	4469076821	B	1	1.0076623	sms_06	006_512_0145	WG0011115-MSA2	B07	100600000	100051200	100651205
X4469076821_C	4469076821_C	509416	4469076821	C	1	1.0586448	sms_06	006_512_0152	WG0011115-MSA2	A08	100600000	100051200	100651212
X4469076821_D	4469076821_D	497910	4469076821	D	1	1.0264171	sms_06	006_512_0153	WG0011115-MSA2	B08	100600000	100051200	100651213
X4469076838_L	4469076838_L	484138	4469076838	L	1	0.9384401	sms_06	006_512_0141	WG0011115-MSA2	F06	100600000	100051200	100651201
X4469076013_A	4469076013_A	569302	4469076013	A	1	1.2380831	SMS_007	009_516_0193	WG0009044-MSA2	C01	100900000	100051600	100951603
X4469076013_B	4469076013_B	541446	4469076013	B	1	1.0536476	SMS_007	009_516_0194	WG0009044-MSA2	D01	100900000	100051600	100951604
X4469076013_C	4469076013_C	553666	4469076013	C	1	1.0201427	SMS_007	009_516_0201	WG0009044-MSA2	C02	100900000	100051600	100951611
X4469076013_D	4469076013_D	508938	4469076013	D	1	1.0898120	SMS_007	009_516_0202	WG0009044-MSA2	D02	100900000	100051600	100951612
X4469076047_A	4469076047_A	562058	4469076047	A	1	1.0454792	SMS_007	009_516_0191	WG0009044-MSA2	A01	100900000	100051600	100951601
X4469076047_B	4469076047_B	544553	4469076047	B	1	1.0656327	SMS_007	009_516_0192	WG0009044-MSA2	B01	100900000	100051600	100951602
X4469076047_C	4469076047_C	540545	4469076047	C	1	1.1276689	SMS_007	009_516_0199	WG0009044-MSA2	A02	100900000	100051600	100951609
X4469076047_D	4469076047_D	494474	4469076047	D	1	1.1099949	SMS_007	009_516_0200	WG0009044-MSA2	B02	100900000	100051600	100951610
X4469076415_A	4469076415_A	523407	4469076415	A	1	1.0001124	SMS_007	009_516_0195	WG0009044-MSA2	E01	100900000	100051600	100951605
X4469076415_B	4469076415_B	488579	4469076415	B	1	0.8991578	SMS_007	009_516_0196	WG0009044-MSA2	F01	100900000	100051600	100951606
X4469076450_A	4469076450_A	539107	4469076450	A	1	1.0100383	SMS_007	009_516_0197	WG0009044-MSA2	G01	100900000	100051600	100951607
X4469076450_B	4469076450_B	552137	4469076450	B	1	1.2034488	SMS_007	009_516_0198	WG0009044-MSA2	H01	100900000	100051600	100951608
X4469076013_E	4469076013_E	570636	4469076013	E	1	1.2555591	SMS_007	009_517_0209	WG0009044-MSA2	C03	100900000	100051700	100951707
X4469076013_F	4469076013_F	563873	4469076013	F	1	1.2038607	SMS_007	009_517_0210	WG0009044-MSA2	D03	100900000	100051700	100951708
X4469076047_E	4469076047_E	542795	4469076047	E	1	1.1831193	SMS_007	009_517_0207	WG0009044-MSA2	A03	100900000	100051700	100951705
X4469076047_F	4469076047_F	547777	4469076047	F	1	1.1344344	SMS_007	009_517_0208	WG0009044-MSA2	B03	100900000	100051700	100951706
X4469076415_C	4469076415_C	517098	4469076415	C	1	0.9895740	SMS_007	009_517_0203	WG0009044-MSA2	E02	100900000	100051700	100951701
X4469076415_D	4469076415_D	492358	4469076415	D	1	1.0496416	SMS_007	009_517_0204	WG0009044-MSA2	F02	100900000	100051700	100951702
X4469076415_E	4469076415_E	520075	4469076415	E	1	1.1117962	SMS_007	009_517_0211	WG0009044-MSA2	E03	100900000	100051700	100951709
X4469076415_F	4469076415_F	528092	4469076415	F	1	1.0024245	SMS_007	009_517_0212	WG0009044-MSA2	F03	100900000	100051700	100951710
X4469076450_C	4469076450_C	549479	4469076450	C	1	1.2152575	SMS_007	009_517_0205	WG0009044-MSA2	G02	100900000	100051700	100951703
X4469076450_D	4469076450_D	538368	4469076450	D	1	1.1312329	SMS_007	009_517_0206	WG0009044-MSA2	H02	100900000	100051700	100951704
X4469076591_F	4469076591_F	440230	4469076591	F	1	0.9637547	SMS_013	038_564_0828	WG0011120-MSA2	D09	104000000	100053000	104053055
X4469076435_B	4469076435_B	556776	4469076435	B	1	1.0047575	SMS_030	114_654_2431	WG0008876-MSA2	H07	104000000	100053000	104053054
X4469076602_E	4469076602_E	532907	4469076602	E	1	0.9396376	SMS_014	040_530_0876	WG0011119-MSA2	E03	104000000	100053000	104053005
X4469076757_E	4469076757_E	523668	4469076757	E	1	1.0944172	SMS_014	040_530_0872	WG0011119-MSA2	A03	104000000	100053000	104053001
X4469076757_F	4469076757_F	515976	4469076757	F	1	1.0562039	SMS_014	040_530_0873	WG0011119-MSA2	B03	104000000	100053000	104053002
X4469076757_G	4469076757_G	522716	4469076757	G	1	0.9748491	SMS_014	040_530_0880	WG0011119-MSA2	A04	104000000	100053000	104053009
X4469076757_H	4469076757_H	503783	4469076757	H	1	0.9936594	SMS_014	040_530_0881	WG0011119-MSA2	B04	104000000	100053000	104053010
X4469076759_E	4469076759_E	476091	4469076759	E	1	1.0709935	SMS_014	040_530_0874	WG0011119-MSA2	C03	104000000	100053000	104053003
X4469076759_F	4469076759_F	471657	4469076759	F	1	0.9928525	SMS_014	040_530_0875	WG0011119-MSA2	D03	104000000	100053000	104053004
X4469076759_G	4469076759_G	510343	4469076759	G	1	1.0591365	SMS_014	040_530_0882	WG0011119-MSA2	C04	104000000	100053000	104053011
X4469076761_E	4469076761_E	510733	4469076761	E	1	0.9921618	SMS_014	040_530_0878	WG0011119-MSA2	G03	104000000	100053000	104053007
X4469076761_F	4469076761_F	489817	4469076761	F	1	0.9426367	SMS_014	040_530_0879	WG0011119-MSA2	H03	104000000	100053000	104053008
X4469076487_G	4469076487_G	542829	4469076487	G	1	1.0030347	SMS_023	083_621_1783	WG0004746-MSA2	A10	102300000	100053300	102353362
X4469076440_I	4469076440_I	504908	4469076440	I	1	1.5130240	SMS_010	023_533_0514	WG0011118-MSA2	G05	102300000	100053300	102353301
X4469076440_K	4469076440_K	495377	4469076440	K	1	1.3102888	SMS_010	023_533_0522	WG0011118-MSA2	G06	102300000	100053300	102353309
X4469076440_L	4469076440_L	454461	4469076440	L	1	1.2762625	SMS_010	023_533_0523	WG0011118-MSA2	H06	102300000	100053300	102353310
X4469076615_K	4469076615_K	527545	4469076615	K	1	1.2246490	SMS_010	023_533_0516	WG0011118-MSA2	A06	102300000	100053300	102353303
X4469076615_L	4469076615_L	537165	4469076615	L	1	1.2292182	SMS_010	023_533_0517	WG0011118-MSA2	B06	102300000	100053300	102353304
X4469076745_K	4469076745_K	545263	4469076745	K	1	1.0802213	SMS_010	023_533_0520	WG0011118-MSA2	E06	102300000	100053300	102353307
X4469076745_L	4469076745_L	527788	4469076745	L	1	1.0483971	SMS_010	023_533_0521	WG0011118-MSA2	F06	102300000	100053300	102353308
X4469076747_K	4469076747_K	496547	4469076747	K	1	1.0899870	SMS_010	023_533_0518	WG0011118-MSA2	C06	102300000	100053300	102353305
X4469076747_L	4469076747_L	447070	4469076747	L	1	1.1648618	SMS_010	023_533_0519	WG0011118-MSA2	D06	102300000	100053300	102353306
X4469076813_A	4469076813_A	564746	4469076813	A	1	1.1263586	SMS_010	023_533_0524	WG0011118-MSA2	A07	102300000	100053300	102353311
X4469076824_D	4469076824_D	547036	4469076824	D	1	0.9613173	SMS_011	029_535_0630	WG0008969-MSA2	D08	102900000	100053500	102953501
X4469076824_E	4469076824_E	551848	4469076824	E	1	1.0587102	SMS_011	029_535_0637	WG0008969-MSA2	C09	102900000	100053500	102953508
X4469076824_F	4469076824_F	539615	4469076824	F	1	1.0111553	SMS_011	029_535_0638	WG0008969-MSA2	D09	102900000	100053500	102953509
X4469076825_C	4469076825_C	496857	4469076825	C	1	0.9232344	SMS_011	029_535_0631	WG0008969-MSA2	E08	102900000	100053500	102953502
X4469076825_D	4469076825_D	515989	4469076825	D	1	0.9975298	SMS_011	029_535_0632	WG0008969-MSA2	F08	102900000	100053500	102953503
X4469076825_E	4469076825_E	513017	4469076825	E	1	1.0334059	SMS_011	029_535_0639	WG0008969-MSA2	E09	102900000	100053500	102953510
X4469076825_F	4469076825_F	433335	4469076825	F	1	1.1909257	SMS_011	029_535_0640	WG0008969-MSA2	F09	102900000	100053500	102953511
X4469076830_C	4469076830_C	505012	4469076830	C	1	0.9491822	SMS_011	029_535_0633	WG0008969-MSA2	G08	102900000	100053500	102953504
X4469076830_D	4469076830_D	509067	4469076830	D	1	1.0353229	SMS_011	029_535_0634	WG0008969-MSA2	H08	102900000	100053500	102953505
X4469076831_E	4469076831_E	480506	4469076831	E	1	0.9673018	SMS_011	029_535_0635	WG0008969-MSA2	A09	102900000	100053500	102953506
X4469076831_F	4469076831_F	465974	4469076831	F	1	1.0766652	SMS_011	029_535_0636	WG0008969-MSA2	B09	102900000	100053500	102953507
X4469076623_C	4469076623_C	544881	4469076623	C	1	0.9084773	SMS_019	066_538_1391	WG0008914-MSA2	E08	106600000	100053800	106653807
X4469076623_D	4469076623_D	513949	4469076623	D	1	0.9873127	SMS_019	066_538_1392	WG0008914-MSA2	F08	106600000	100053800	106653808
X4469076624_C	4469076624_C	535312	4469076624	C	1	1.0925537	SMS_019	066_538_1387	WG0008914-MSA2	A08	106600000	100053800	106653803
X4469076624_D	4469076624_D	494076	4469076624	D	1	1.0357326	SMS_019	066_538_1388	WG0008914-MSA2	B08	106600000	100053800	106653804
X4469076624_E	4469076624_E	518518	4469076624	E	1	1.0601487	SMS_019	066_538_1395	WG0008914-MSA2	A09	106600000	100053800	106653811
X4469076624_F	4469076624_F	491319	4469076624	F	1	1.1403584	SMS_019	066_538_1396	WG0008914-MSA2	B09	106600000	100053800	106653812
X4469076625_C	4469076625_C	537900	4469076625	C	1	1.0019110	SMS_019	066_538_1389	WG0008914-MSA2	C08	106600000	100053800	106653805
X4469076625_D	4469076625_D	506473	4469076625	D	1	0.9965727	SMS_019	066_538_1390	WG0008914-MSA2	D08	106600000	100053800	106653806
X4469076625_E	4469076625_E	543080	4469076625	E	1	1.0387879	SMS_019	066_538_1397	WG0008914-MSA2	C09	106600000	100053800	106653813
X4469076665_B	4469076665_B	494310	4469076665	B	1	1.0374146	SMS_019	066_538_1386	WG0008914-MSA2	H07	106600000	100053800	106653802
X4469076665_C	4469076665_C	520864	4469076665	C	1	1.0383122	SMS_019	066_538_1393	WG0008914-MSA2	G08	106600000	100053800	106653809
X4469076665_D	4469076665_D	490639	4469076665	D	1	1.0883736	SMS_019	066_538_1394	WG0008914-MSA2	H08	106600000	100053800	106653810
X4469076171_K	4469076171_K	526516	4469076171	K	1	1.0105987	SMS_027	141_578_2999	WG0009024-MSA2	E12	106200000	100053900	106253951
X4469076085_H	4469076085_H	501546	4469076085	H	1	1.6048760	SMS_018	062_539_1311	WG0011124-MSA2	D10	106200000	100053900	106253903
X4469076085_I	4469076085_I	565440	4469076085	I	1	1.6849949	SMS_018	062_539_1318	WG0011124-MSA2	C11	106200000	100053900	106253910
X4469076085_J	4469076085_J	543038	4469076085	J	1	1.5214374	SMS_018	062_539_1319	WG0011124-MSA2	D11	106200000	100053900	106253911
X4469076086_G	4469076086_G	550936	4469076086	G	1	1.4625520	SMS_018	062_539_1314	WG0011124-MSA2	G10	106200000	100053900	106253906
X4469076086_H	4469076086_H	523980	4469076086	H	1	1.3511894	SMS_018	062_539_1315	WG0011124-MSA2	H10	106200000	100053900	106253907
X4469076281_H	4469076281_H	559741	4469076281	H	1	1.1317306	SMS_018	062_539_1309	WG0011124-MSA2	B10	106200000	100053900	106253901
X4469076281_I	4469076281_I	542924	4469076281	I	1	1.2781672	SMS_018	062_539_1316	WG0011124-MSA2	A11	106200000	100053900	106253908
X4469076281_J	4469076281_J	528952	4469076281	J	1	1.3487073	SMS_018	062_539_1317	WG0011124-MSA2	B11	106200000	100053900	106253909
X4469076282_G	4469076282_G	551804	4469076282	G	1	0.9395306	SMS_018	062_539_1312	WG0011124-MSA2	E10	106200000	100053900	106253904
X4469076282_H	4469076282_H	540572	4469076282	H	1	0.9286606	SMS_018	062_539_1313	WG0011124-MSA2	F10	106200000	100053900	106253905
X4469076275_E	4469076275_E	527230	4469076275	E	1	0.8222508	SMS_012	034_558_0734	WG0009046-MSA2	E09	102300000	100054000	102354054
X4469076017_D	4469076017_D	454087	4469076017	D	1	1.1993823	SMS_024	088_626_1865	WG0009000-MSA2	D08	102300000	100054000	102354051
X4469076440_G	4469076440_G	479486	4469076440	G	1	1.2787371	SMS_010	023_540_0506	WG0011118-MSA2	G04	102300000	100054000	102354006
X4469076440_H	4469076440_H	474241	4469076440	H	1	1.5264861	SMS_010	023_540_0507	WG0011118-MSA2	H04	102300000	100054000	102354007
X4469076615_H	4469076615_H	511524	4469076615	H	1	1.2938456	SMS_010	023_540_0501	WG0011118-MSA2	B04	102300000	100054000	102354001
X4469076615_J	4469076615_J	538216	4469076615	J	1	1.1622132	SMS_010	023_540_0509	WG0011118-MSA2	B05	102300000	100054000	102354009
X4469076745_G	4469076745_G	542006	4469076745	G	1	1.2856522	SMS_010	023_540_0504	WG0011118-MSA2	E04	102300000	100054000	102354004
X4469076745_H	4469076745_H	535314	4469076745	H	1	1.2700799	SMS_010	023_540_0505	WG0011118-MSA2	F04	102300000	100054000	102354005
X4469076745_I	4469076745_I	557179	4469076745	I	1	1.3461633	SMS_010	023_540_0512	WG0011118-MSA2	E05	102300000	100054000	102354012
X4469076747_G	4469076747_G	558089	4469076747	G	1	1.1516883	SMS_010	023_540_0502	WG0011118-MSA2	C04	102300000	100054000	102354002
X4469076747_H	4469076747_H	532396	4469076747	H	1	1.1322540	SMS_010	023_540_0503	WG0011118-MSA2	D04	102300000	100054000	102354003
X4469076747_I	4469076747_I	554948	4469076747	I	1	1.2098987	SMS_010	023_540_0510	WG0011118-MSA2	C05	102300000	100054000	102354010
X4469076747_J	4469076747_J	554407	4469076747	J	1	1.1104664	SMS_010	023_540_0511	WG0011118-MSA2	D05	102300000	100054000	102354011
X4469076616_F	4469076616_F	553397	4469076616	F	1	1.1737906	SMS_010	025_542_0547	WG0011118-MSA2	H09	102600000	100054200	102654251
X4469076813_G	4469076813_G	566137	4469076813	G	1	1.0979990	SMS_010	025_542_0548	WG0011118-MSA2	A10	102600000	100054200	102654252
X4469076614_G	4469076614_G	551919	4469076614	G	1	1.4252427	SMS_010	025_542_0550	WG0011118-MSA2	C10	102600000	100054200	102654254
X4469076614_H	4469076614_H	523528	4469076614	H	1	1.3570235	SMS_010	025_542_0551	WG0011118-MSA2	D10	102600000	100054200	102654255
X4469076811_G	4469076811_G	511757	4469076811	G	1	1.1937293	SMS_010	025_542_0552	WG0011118-MSA2	E10	102600000	100054200	102654256
X4469076811_H	4469076811_H	514450	4469076811	H	1	1.3036760	SMS_010	025_542_0553	WG0011118-MSA2	F10	102600000	100054200	102654257
X4469076600_C	4469076600_C	475864	4469076600	C	1	1.0967718	SMS_031	116_653_2483	WG0008967-MSA2	E02	102600000	100054200	102654259
X4469076616_G	4469076616_G	557213	4469076616	G	1	1.2600030	SMS_010	025_543_0554	WG0011118-MSA2	G10	102600000	100054300	102654351
X4469076616_H	4469076616_H	563672	4469076616	H	1	1.1466591	SMS_010	025_543_0555	WG0011118-MSA2	H10	102600000	100054300	102654352
X4469076813_I	4469076813_I	565525	4469076813	I	1	1.0798658	SMS_010	025_543_0556	WG0011118-MSA2	A11	102600000	100054300	102654353
X4469076813_J	4469076813_J	561555	4469076813	J	1	0.9475025	SMS_010	025_543_0557	WG0011118-MSA2	B11	102600000	100054300	102654354
X4469076614_I	4469076614_I	562185	4469076614	I	1	1.3342068	SMS_010	025_543_0558	WG0011118-MSA2	C11	102600000	100054300	102654355
X4469076614_J	4469076614_J	530353	4469076614	J	1	1.1574353	SMS_010	025_543_0559	WG0011118-MSA2	D11	102600000	100054300	102654356
X4469076804_L	4469076804_L	475669	4469076804	L	1	1.2254883	SMS_011	028_548_0614	WG0008969-MSA2	D06	102700000	100054500	102754558
X4469076506_A	4469076506_A	534151	4469076506	A	1	0.8678987	SMS_011	027_545_0575	WG0008969-MSA2	E01	102700000	100054500	102754503
X4469076506_B	4469076506_B	384132	4469076506	B	1	0.9200035	SMS_011	027_545_0576	WG0008969-MSA2	F01	102700000	100054500	102754504
X4469076506_C	4469076506_C	546610	4469076506	C	1	0.8912684	SMS_011	027_545_0583	WG0008969-MSA2	E02	102700000	100054500	102754511
X4469076506_D	4469076506_D	507883	4469076506	D	1	0.8429815	SMS_011	027_545_0584	WG0008969-MSA2	F02	102700000	100054500	102754512
X4469076507_A	4469076507_A	555533	4469076507	A	1	0.8317741	SMS_011	027_545_0577	WG0008969-MSA2	G01	102700000	100054500	102754505
X4469076507_B	4469076507_B	439837	4469076507	B	1	0.8793366	SMS_011	027_545_0578	WG0008969-MSA2	H01	102700000	100054500	102754506
X4469076507_C	4469076507_C	552974	4469076507	C	1	0.8596188	SMS_011	027_545_0585	WG0008969-MSA2	G02	102700000	100054500	102754513
X4469076804_B	4469076804_B	507506	4469076804	B	1	1.1909713	SMS_011	027_545_0574	WG0008969-MSA2	D01	102700000	100054500	102754502
X4469076804_C	4469076804_C	494103	4469076804	C	1	1.2278383	SMS_011	027_545_0581	WG0008969-MSA2	C02	102700000	100054500	102754509
X4469076804_D	4469076804_D	490100	4469076804	D	1	1.2192851	SMS_011	027_545_0582	WG0008969-MSA2	D02	102700000	100054500	102754510
X4469076823_C	4469076823_C	502628	4469076823	C	1	1.2551675	SMS_011	027_545_0579	WG0008969-MSA2	A02	102700000	100054500	102754507
X4469076823_D	4469076823_D	472183	4469076823	D	1	1.2538520	SMS_011	027_545_0580	WG0008969-MSA2	B02	102700000	100054500	102754508
X4469076506_E	4469076506_E	530445	4469076506	E	1	0.9900209	SMS_011	027_546_0591	WG0008969-MSA2	E03	102700000	100054600	102754605
X4469076506_F	4469076506_F	506877	4469076506	F	1	0.9992726	SMS_011	027_546_0592	WG0008969-MSA2	F03	102700000	100054600	102754606
X4469076507_E	4469076507_E	543342	4469076507	E	1	0.8587793	SMS_011	027_546_0593	WG0008969-MSA2	G03	102700000	100054600	102754607
X4469076507_F	4469076507_F	500338	4469076507	F	1	0.8403180	SMS_011	027_546_0594	WG0008969-MSA2	H03	102700000	100054600	102754608
X4469076804_E	4469076804_E	527310	4469076804	E	1	1.1671200	SMS_011	027_546_0589	WG0008969-MSA2	C03	102700000	100054600	102754603
X4469076804_F	4469076804_F	528406	4469076804	F	1	1.1580285	SMS_011	027_546_0590	WG0008969-MSA2	D03	102700000	100054600	102754604
X4469076804_G	4469076804_G	541166	4469076804	G	1	1.2577013	SMS_011	027_546_0597	WG0008969-MSA2	C04	102700000	100054600	102754610
X4469076823_E	4469076823_E	502677	4469076823	E	1	1.3005247	SMS_011	027_546_0587	WG0008969-MSA2	A03	102700000	100054600	102754601
X4469076823_F	4469076823_F	464954	4469076823	F	1	1.4006357	SMS_011	027_546_0588	WG0008969-MSA2	B03	102700000	100054600	102754602
X4469076823_H	4469076823_H	425216	4469076823	H	1	1.3370471	SMS_011	027_546_0596	WG0008969-MSA2	B04	102700000	100054600	102754609
X4469076333_L	4469076333_L	523760	4469076333	L	1	0.8564217	SMS_035	137_675_2898	WG0011255-MSA2	H06	102900000	100054900	102954956
X4469076507_L	4469076507_L	501368	4469076507	L	1	0.8654955	SMS_011	029_549_0618	WG0008969-MSA2	H06	102900000	100054900	102954901
X4469076824_A	4469076824_A	545396	4469076824	A	1	0.8256480	SMS_011	029_549_0621	WG0008969-MSA2	C07	102900000	100054900	102954904
X4469076824_B	4469076824_B	517870	4469076824	B	1	0.8712315	SMS_011	029_549_0622	WG0008969-MSA2	D07	102900000	100054900	102954905
X4469076824_C	4469076824_C	537665	4469076824	C	1	0.9391167	SMS_011	029_549_0629	WG0008969-MSA2	C08	102900000	100054900	102954912
X4469076825_A	4469076825_A	463277	4469076825	A	1	0.7894140	SMS_011	029_549_0623	WG0008969-MSA2	E07	102900000	100054900	102954906
X4469076830_A	4469076830_A	532771	4469076830	A	1	0.8382144	SMS_011	029_549_0625	WG0008969-MSA2	G07	102900000	100054900	102954908
X4469076830_B	4469076830_B	507570	4469076830	B	1	0.8328640	SMS_011	029_549_0626	WG0008969-MSA2	H07	102900000	100054900	102954909
X4469076831_A	4469076831_A	511380	4469076831	A	1	1.0018946	SMS_011	029_549_0619	WG0008969-MSA2	A07	102900000	100054900	102954902
X4469076831_B	4469076831_B	490330	4469076831	B	1	0.9576644	SMS_011	029_549_0620	WG0008969-MSA2	B07	102900000	100054900	102954903
X4469076831_C	4469076831_C	479556	4469076831	C	1	0.9745251	SMS_011	029_549_0627	WG0008969-MSA2	A08	102900000	100054900	102954910
X4469076831_D	4469076831_D	488839	4469076831	D	1	0.9659872	SMS_011	029_549_0628	WG0008969-MSA2	B08	102900000	100054900	102954911
X4469076400_A	4469076400_A	571140	4469076400	A	1	1.2599099	SMS_015	046_556_0999	WG0011121-MSA2	A07	104600000	100055600	104655606
X4469076400_B	4469076400_B	567424	4469076400	B	1	1.1935807	SMS_015	046_556_1000	WG0011121-MSA2	B07	104600000	100055600	104655607
X4469076488_L	4469076488_L	497496	4469076488	L	1	0.8586934	SMS_015	046_556_0994	WG0011121-MSA2	D06	104600000	100055600	104655601
X4469076526_K	4469076526_K	537348	4469076526	K	1	0.9178001	SMS_015	046_556_0995	WG0011121-MSA2	E06	104600000	100055600	104655602
X4469076526_L	4469076526_L	531486	4469076526	L	1	0.8486450	SMS_015	046_556_0996	WG0011121-MSA2	F06	104600000	100055600	104655603
X4469076528_A	4469076528_A	570722	4469076528	A	1	2.5987307	SMS_015	046_556_1003	WG0011121-MSA2	E07	104600000	100055600	104655610
X4469076648_K	4469076648_K	497768	4469076648	K	1	1.2626019	SMS_015	046_556_0997	WG0011121-MSA2	G06	104600000	100055600	104655604
X4469076648_L	4469076648_L	485463	4469076648	L	1	1.1487814	SMS_015	046_556_0998	WG0011121-MSA2	H06	104600000	100055600	104655605
