Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
10019,24,12671,1172,719,224
10020,35,14118,2796,2700,456
10021,41,4626,1010,4485,706
10037,28,10388,2309,445,159
10040,20,5565,1252,250,89
10047,24,269,118,214,83
10079,31,5410,1344,3618,780
10082,31,3530,835,272,80
10102,24,1176,299,5202,1003
10128,29,247,114,719,199
10131,20,5960,1387,1408,396
10136,34,8954,1759,609,234
10142,19,430,124,336,192
10154,27,6649,1599,2764,695
10156,39,6819,1602,1271,351
10161,25,1058,299,216,76
10176,26,3386,526,746,248
10181,35,236,85,2153,404
10192,30,6090,1280,5294,895
10193,32,7657,1811,5432,943
10195,38,665,181,4573,870
10239,37,5692,1499,334,121
10240,35,4102,821,25278,2876
10273,24,2923,548,1423,367
10288,29,4313,889,257,94
10301,29,2228,480,300,101
10309,32,3902,773,282,118
10324,39,6830,1617,11929,1724
10327,41,281,93,257,100
10338,28,3190,658,1155,308
10343,34,12462,2707,367,165
10349,36,917,278,15252,1873
10356,29,5353,882,367,136
10358,24,3672,645,298,168
10360,35,626,136,12449,1610
10364,25,243,111,274,98
10367,21,290,140,1672,406
10376,29,3341,959,534,220
10379,28,233,92,226,64
10397,31,284,95,2660,567
10402,36,297,90,959,287
10408,24,7711,818,314,162
10433,22,241,103,1026,202
10437,25,487,132,7333,893
10438,25,286,156,278,101
10458,30,8425,1769,500,194
10470,30,4814,1079,3059,599
10471,28,418,190,2420,542
10474,30,6343,993,357,183
10482,24,3424,706,3614,734
10504,43,730,186,11113,1624
10521,32,282,104,252,97
10523,28,291,105,219,101
10524,35,424,144,6037,998
10528,24,3357,493,259,85
10538,36,4863,947,272,121
10546,21,325,105,202,73
10554,28,6110,1601,297,118
10592,25,319,109,5048,755
10608,24,6590,1091,259,101
10609,17,750,229,326,107
10615,39,273,126,256,99
10630,47,16875,2972,5049,682
10634,21,328,129,718,189
10639,21,6250,1017,315,122
10647,29,233,100,2711,373
10670,28,873,222,3070,763
10671,29,2649,467,262,138
10674,35,268,115,1994,545
10678,22,257,98,1845,280
10689,29,290,119,277,116
10706,37,249,110,229,86
10709,37,902,281,333,161
10711,27,1426,369,4744,783
10717,23,873,196,983,302
10725,34,1885,588,242,100
10731,21,648,190,9675,1364
10735,38,701,197,16870,1908
10743,34,1188,280,268,155
10767,24,866,281,9350,2212
10768,31,316,152,919,203
20008,46,534,118,5212,849
20010,25,4571,796,361,136
20020,29,6662,1199,2457,542
20025,20,2362,536,5702,1553
20026,27,10300,2048,2084,359
20044,28,459,160,382,177
20047,35,1326,253,12347,1707
20053,29,4113,887,250,96
20068,32,2212,453,287,122
20091,33,406,132,6340,1076
20093,28,13519,3097,378,149
20095,25,274,132,270,135
20097,26,17203,3513,14965,1626
20114,22,360,142,3245,583
20121,39,270,110,1544,449
20128,21,293,80,251,98
20142,27,285,117,1769,470
20152,35,14562,3636,392,131
20164,26,822,279,5185,1754
20170,25,3209,500,1131,321
20189,23,3533,490,4045,627
20195,29,485,171,6440,1598
20196,37,878,238,216,93
20215,37,763,171,11563,1510
20220,22,476,144,2572,780
20228,41,12269,2394,324,115
20246,33,879,178,6382,959
20253,31,2608,529,435,184
20255,36,7624,1581,5678,921
20273,33,5732,1062,4897,721
20292,35,13841,3090,1766,352
20315,27,4365,1013,300,130
20326,41,7968,1644,5450,1038
20328,27,15793,3102,695,185
20347,33,7586,1674,319,118
20348,38,446,138,4119,781
20370,23,400,134,249,71
20392,34,304,129,289,143
20398,30,4077,725,247,74
20435,42,3949,983,1823,421
20440,24,486,202,237,138
20445,29,236,103,1681,344
20446,21,6006,1699,1278,315
20451,24,314,105,9199,1136
20477,32,1628,572,2494,645
20487,31,5202,1087,2762,723
20504,39,767,187,17714,2075
20520,28,9355,2252,427,113
20523,36,317,106,880,311
20524,26,963,299,349,155
20528,39,5254,1344,317,133
20541,30,3036,806,321,148
20544,37,566,171,451,183
20553,29,420,107,3983,702
20600,40,15493,2711,518,134
20603,24,7927,827,5334,738
20609,31,4258,700,3147,741
20632,40,5556,1184,2785,508
20639,21,8467,1446,391,93
20669,30,8086,1652,305,117
20673,42,4370,919,444,229
20674,40,15284,3981,552,209
20678,26,14424,1942,342,121
20682,19,2687,390,277,94
20692,34,7161,1376,315,94
20703,28,3800,1202,273,101
20707,40,6271,1870,314,107
20730,36,4881,1038,3710,556
20731,33,677,222,1512,374
20746,47,789,195,6023,1028
20747,23,338,145,260,77
20750,33,2155,577,455,183
20754,32,8562,1678,341,133
20767,21,6550,1176,258,98
50019,37,238,137,227,103
50040,33,2870,558,2989,466
50041,30,5532,1257,310,156
50048,30,3790,538,436,178
50056,23,3410,616,1511,396
50072,32,595,144,1411,386
50091,33,281,111,3469,555
50100,25,2600,645,256,107
50113,44,14353,2379,366,119
50114,30,2855,734,223,85
50131,33,806,178,9365,1157
50132,27,832,254,7683,1454
50136,31,866,309,1397,441
50138,27,2380,727,261,116
50139,33,8832,1369,268,84
50142,24,1867,376,242,100
50148,29,1123,270,8166,1667
50162,32,458,154,7422,1470
50167,29,6648,1868,533,257
50184,31,4695,948,5504,1164
50187,36,282,130,227,111
50193,31,3858,954,2735,676
50201,33,4388,738,2278,485
50224,23,1070,293,3987,721
50259,36,4199,863,728,220
50270,33,332,122,435,160
50280,30,5953,973,4067,571
50296,29,627,196,2818,552
50307,31,1063,306,323,115
50309,40,458,161,352,179
50324,19,257,97,205,81
50328,28,6712,1294,8959,943
50332,33,5328,1112,5048,913
50338,33,297,108,1247,327
50348,30,313,103,6455,715
50349,35,584,148,6239,990
50356,33,575,173,13058,1176
50360,24,2569,514,616,161
50368,37,290,126,292,127
50369,31,9543,1652,11957,1269
50370,37,309,134,216,92
50373,30,6675,1459,240,67
50379,34,3948,849,271,110
50386,35,9690,2004,399,138
50408,23,4668,944,202,87
50424,28,16852,2664,5281,843
50427,34,430,99,2501,421
50438,39,587,183,13300,1663
50440,19,259,137,274,168
50446,18,321,130,219,97
50458,25,2717,472,261,105
50465,36,366,103,1712,608
50482,27,345,127,376,138
50494,28,366,111,3679,728
50497,30,309,157,886,276
50521,27,1996,636,1606,383
50528,36,337,116,187,100
50538,31,2843,737,247,96
50541,35,6200,1756,771,304
50543,34,914,149,9955,1481
50544,26,327,153,264,75
50563,38,477,165,2327,487
50564,30,266,144,302,117
50592,29,2713,608,244,126
50593,29,330,111,203,82
50601,32,6053,1612,320,150
50603,26,1596,282,9406,1641
50605,35,1244,325,11792,1805
50674,36,285,109,273,125
50685,27,254,80,3166,638
50692,30,772,290,3064,941
50706,41,4375,982,2204,419
50722,33,370,109,5798,914
50739,24,319,100,1431,324
50750,32,1005,282,1960,319
50762,28,276,83,1832,528
50767,23,4310,981,288,137
60010,34,224,96,166,69
60017,34,7814,1893,362,126
60019,33,281,123,259,106
60053,22,317,140,1798,335
60056,40,2598,681,1324,360
60059,25,632,225,3709,652
60064,31,10739,1840,296,103
60082,27,231,127,206,95
60093,21,2225,514,221,89
60097,30,9147,1762,394,145
60102,39,13558,2801,325,95
60112,29,231,83,174,76
60129,29,217,88,218,115
60133,32,255,114,1016,271
60136,48,4216,1008,279,106
60138,29,556,154,5738,1172
60139,30,5691,1199,424,192
60142,34,1504,233,17138,1680
60148,32,248,109,251,106
60167,30,4565,767,2061,365
60170,34,26435,5306,1510,405
60181,39,266,139,277,152
60184,32,301,91,6459,1284
60187,41,3839,804,1937,380
60189,25,334,142,1128,379
60193,34,5753,1344,326,139
60202,39,241,106,1858,325
60204,20,1112,195,705,252
60209,30,9305,1806,275,67
60215,36,8324,1816,387,204
60239,28,2391,575,238,97
60241,35,497,195,5886,1375
60255,31,279,102,214,91
60259,27,399,165,2505,577
60273,38,9991,2085,343,148
60274,20,12994,2448,1109,311
60291,32,2927,598,277,114
60300,32,327,109,280,135
60307,31,3809,1145,282,128
60328,27,739,278,6950,1873
60341,32,7248,1462,280,115
60347,18,5480,1431,267,61
60349,28,210,87,351,139
60356,31,2110,432,1852,374
60358,33,4176,861,3292,686
60360,33,5799,1387,4729,931
60369,38,10173,1801,385,134
60370,22,254,101,418,163
60372,30,6041,1528,307,131
60373,38,932,195,377,163
60390,37,229,98,268,144
60402,34,6651,903,8288,886
60424,22,226,66,277,118
60438,41,7474,1725,300,113
60446,27,2715,561,950,305
60451,37,5841,1253,311,134
60463,30,10422,2160,2842,754
60482,8,783,281,238,38
60520,36,2305,710,283,129
60537,32,266,117,4156,936
60551,31,829,288,282,124
60554,29,4943,866,1964,388
60575,35,4545,1281,2963,625
60593,23,484,196,282,131
60594,27,3145,825,308,164
60609,29,661,218,2825,704
60619,27,8597,1490,352,184
60653,35,281,118,895,268
60669,31,5867,972,265,109
60672,20,2215,720,456,131
60692,30,3604,749,26630,2995
60717,25,451,114,1340,578
60739,34,379,117,5191,664
60747,39,444,172,6329,896
60754,29,306,92,5606,1394
70010,41,12929,2659,304,108
70025,21,3468,564,273,96
70026,28,4592,926,2720,554
70037,33,6330,1091,4941,779
70044,33,2137,697,264,110
70047,35,2448,552,3458,657
70059,34,6469,1207,5486,649
70070,21,5554,769,328,116
70091,30,551,150,10875,1583
70095,36,527,145,12147,1466
70100,36,415,165,732,230
70128,23,7376,2078,1948,454
70133,23,307,107,3525,883
70138,35,11159,2461,512,216
70139,26,3960,842,1252,411
70142,29,2647,518,287,144
70167,24,4836,840,12098,1063
70176,40,392,125,6290,856
70187,29,456,175,1117,278
70189,29,241,76,249,118
70196,32,12857,2198,2368,722
70201,41,2090,607,1440,370
70209,29,3123,704,2705,630
70228,25,482,109,192,70
70240,19,465,171,5115,1201
70253,20,5812,1471,3713,528
70255,31,770,243,334,102
70273,27,3221,554,1777,332
70274,24,6058,634,249,101
70286,41,6357,1506,348,160
70288,41,10596,2223,415,121
70292,25,337,104,219,95
70300,22,309,85,3218,498
70309,39,536,168,257,97
70333,31,223,91,230,99
70338,26,5842,1118,2987,537
70343,38,6263,1520,1404,374
70349,28,335,145,972,249
70360,34,7665,2257,968,422
70364,29,8870,1573,9670,1033
70369,32,237,112,258,133
70370,33,319,150,4143,795
70376,31,2942,513,3606,476
70379,43,776,185,4272,967
70386,34,390,142,4946,949
70392,28,302,119,3138,518
70403,21,1904,361,1169,349
70424,32,275,121,181,63
70431,50,10864,2218,412,154
70440,28,6262,1044,4358,604
70441,38,3091,685,880,194
70446,26,4735,1300,1440,388
70450,32,594,207,13456,1496
70452,35,313,95,2959,456
70465,32,278,94,7929,1313
70468,18,9578,3030,310,122
70470,14,334,111,265,143
70471,33,2271,540,3449,729
70474,27,2281,580,23314,2547
70475,33,3553,692,2364,522
70484,29,3069,651,1840,311
70487,31,240,90,292,112
70491,34,305,136,2575,560
70500,32,247,105,249,126
70528,30,14506,2414,609,214
70537,39,295,113,242,94
70543,34,304,128,203,79
70546,29,1964,507,420,183
70553,26,565,178,2029,481
70575,35,4587,950,348,122
70593,41,24513,5429,4608,620
70608,31,9482,1666,2481,313
70634,34,8290,1683,325,145
70646,44,615,183,1915,423
70669,36,638,163,840,211
70670,24,544,151,4592,742
70731,32,3195,810,6642,1191
70743,28,4573,876,285,90
70750,40,7243,1391,8521,1036
70753,35,344,154,216,81
110010,34,733,201,10414,1748
110041,30,11646,2325,775,242
110056,30,270,121,2499,383
110079,32,2988,661,252,128
110082,33,443,168,312,107
110110,30,320,126,1463,348
110112,41,8525,2142,320,171
110114,31,4312,998,375,202
110131,39,215,96,882,231
110132,38,7412,1528,4042,772
110133,23,6045,933,558,164
110142,33,7901,2288,8677,1874
110167,45,12171,2622,586,187
110170,41,672,264,2164,675
110181,28,289,112,2533,458
110201,28,2476,459,1331,289
110239,27,366,143,5715,952
110241,39,2013,476,2180,501
110253,33,5127,1154,357,145
110259,25,8112,1387,3339,655
110270,44,461,141,5048,710
110273,32,8887,1943,314,106
110274,36,1574,320,560,218
110296,30,310,110,3917,1213
110326,36,11163,2476,370,158
110358,25,2197,541,269,117
110372,31,1870,504,549,209
110376,31,308,97,2870,731
110377,33,367,136,534,206
110398,33,1732,409,4178,900
110403,22,2172,497,9859,1488
110408,25,11893,2200,3440,410
110411,31,1411,363,463,167
110424,24,743,137,437,138
110437,21,271,117,221,86
110438,30,4862,962,44636,4755
110445,34,531,191,3165,693
110451,28,850,276,1118,260
110468,26,4933,1282,278,130
110474,33,4675,835,225,85
110477,36,742,259,5574,1089
110482,20,1784,461,304,145
110500,33,6945,1301,309,129
110524,39,1750,442,1053,291
110538,43,13457,2431,1059,400
110575,31,11539,1810,5842,894
110592,34,4978,971,240,86
110598,36,252,121,1228,350
110600,32,472,130,1610,413
110612,30,8626,1315,1442,257
110615,35,349,140,213,85
110626,29,375,169,3149,909
110653,35,9676,2152,551,152
110670,25,2368,474,1011,411
110673,36,478,121,4880,1285
110678,40,7514,1563,1114,360
110692,29,7217,1160,280,84
110703,27,3565,567,327,126
110709,25,543,170,685,150
110725,27,281,121,1534,525
110731,28,13795,2810,1646,416
110736,27,269,107,222,90
110739,23,297,94,2315,516
110746,32,495,100,5123,761
110762,29,906,250,531,162
110767,31,12383,1980,429,153
130017,34,249,87,217,90
130020,33,5456,1058,305,121
130022,26,5388,664,389,144
130037,24,422,116,2843,447
130040,24,5615,1190,240,108
130044,45,681,201,960,345
130056,18,710,207,317,134
130070,42,291,89,2097,494
130075,30,16907,2829,6267,1152
130086,38,247,101,257,94
130091,34,2490,477,1734,415
130095,28,10788,3590,5113,1486
130113,39,1966,489,10163,1318
130121,39,7883,1467,4155,635
130128,38,3346,571,624,238
130129,29,233,81,2634,427
