Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
10019,33,13720,2512,714,231
10020,39,13481,2416,2844,436
10021,32,4915,1147,4386,724
10037,32,11962,2549,356,119
10040,24,5825,884,277,109
10047,20,370,156,226,101
10079,24,6052,1160,4256,708
10082,31,4079,982,315,118
10102,27,1390,441,5588,1139
10128,23,285,129,707,243
10131,37,5825,1628,1187,405
10136,21,9470,2106,646,233
10142,25,2447,795,208,83
10154,23,6409,1047,2819,698
10156,33,7154,1205,1453,504
10161,39,811,265,204,103
10176,33,3719,781,903,341
10181,26,274,132,2377,722
10192,31,6849,1797,5667,991
10193,29,7750,1214,5357,706
10195,36,1818,464,4191,1038
10239,34,5649,848,314,129
10240,40,5970,1652,26178,3881
10273,31,3473,959,1604,497
10288,29,4821,1281,259,136
10301,23,2319,671,228,87
10309,23,4582,1092,208,85
10324,37,5935,1071,12344,1762
10327,26,363,152,264,115
10338,29,3577,840,1190,360
10343,28,11873,1917,344,147
10349,29,970,271,14943,1440
10356,32,5823,1041,417,205
10358,44,2740,747,195,91
10360,29,856,165,12803,1930
10364,25,265,118,922,267
10367,26,322,148,1688,626
10376,21,3207,1242,404,178
10379,29,302,110,226,103
10397,30,294,106,2985,679
10402,21,326,112,902,286
10408,31,7816,1282,316,159
10433,26,1097,250,651,121
10437,32,511,165,6308,935
10438,27,205,114,285,133
10458,22,7753,1021,457,168
10470,47,5863,1279,3322,642
10471,25,433,192,2393,584
10474,31,7456,1208,753,198
10482,31,3708,668,3820,700
10504,30,813,252,11324,1828
10521,28,331,193,272,127
10523,37,313,145,212,115
10524,35,435,183,5628,944
10528,25,3676,923,314,167
10538,28,4972,1148,328,133
10546,23,311,130,203,128
10554,34,5774,1046,258,102
10592,48,483,197,5016,924
10608,26,7259,1014,236,115
10609,28,1127,311,3325,716
10615,26,266,85,198,73
10630,35,18351,3680,5518,959
10634,42,337,143,766,277
10639,33,7261,2069,305,103
10647,26,312,131,2584,638
10670,33,929,325,3229,837
10671,31,3081,823,262,117
10674,32,336,155,2246,650
10678,25,267,100,1967,437
10689,32,267,142,294,152
10706,26,293,112,232,95
10709,22,1075,284,217,88
10711,33,1556,526,5143,1143
10717,29,374,206,1173,264
10725,33,1862,422,205,94
10731,27,639,187,9876,1556
10735,29,905,153,17290,1461
10743,27,1079,190,224,62
10767,29,1013,399,9790,2645
10768,31,288,106,951,245
20008,34,611,167,5561,758
20010,30,5173,1225,333,109
20020,33,7428,978,2638,376
20025,23,2768,823,6325,1654
20026,30,9131,1176,3652,581
20044,35,539,172,285,122
20047,31,1578,392,12955,1991
20053,23,3936,930,234,81
20068,32,2310,479,296,112
20091,33,533,187,6747,1388
20093,39,10101,2123,5735,952
20095,32,305,168,231,110
20097,35,17574,4072,12969,2108
20114,21,459,159,2991,616
20121,31,257,98,1567,475
20128,34,329,155,234,93
20142,31,387,169,1903,593
20152,33,13649,2063,351,118
20164,25,952,289,5070,1605
20170,24,4611,1377,1470,414
20189,24,6570,1431,2561,633
20195,20,641,261,6252,1519
20196,23,1338,342,228,120
20215,36,940,307,11925,1615
20220,27,543,179,2586,647
20228,36,12975,2765,268,95
20246,29,916,223,6435,1491
20253,35,3046,669,422,141
20255,34,8532,1853,5282,750
20273,39,5951,1019,4569,933
20292,38,14292,3134,1686,533
20315,23,5045,988,247,106
20326,39,7528,1103,5304,761
20328,31,15150,2271,600,184
20347,28,7413,1006,272,96
20348,32,457,120,4037,1111
20370,33,448,174,244,120
20392,37,309,134,227,117
20398,27,2674,499,1080,224
20435,28,6089,1548,403,158
20440,34,594,316,236,111
20445,21,306,125,1681,585
20446,34,5748,1260,1273,451
20451,42,318,126,9890,1584
20477,24,1736,502,2462,612
20487,31,5812,872,2801,591
20504,41,11127,1732,10005,1156
20520,32,9246,1370,475,170
20523,34,342,107,1015,342
20524,26,1057,362,273,143
20528,25,5823,1398,250,92
20541,34,2938,856,261,116
20544,26,567,144,406,165
20553,26,590,229,4395,878
20600,33,16540,3288,592,190
20603,27,8232,1444,5182,702
20609,28,4574,844,3091,791
20632,37,2304,728,5588,1050
20639,21,9146,1483,438,118
20669,25,8777,1285,304,116
20673,32,5273,1152,424,186
20674,27,15151,2645,496,159
20678,29,14562,2910,357,120
20682,31,3350,784,304,120
20692,30,7480,2060,341,125
20703,28,3872,1077,276,134
20707,27,6302,1024,286,64
20730,33,5631,1107,4177,988
20731,38,642,200,1387,496
20746,42,876,294,6577,1159
20747,29,331,142,250,106
20750,31,2129,465,409,138
20754,49,9158,1514,363,153
20767,33,7439,1360,287,83
50019,25,242,83,217,88
50040,26,3092,966,3009,813
50041,25,5817,1062,281,74
50048,24,4158,916,398,165
50056,31,4306,1127,1751,591
50072,32,667,191,1663,546
50091,36,332,103,3645,1100
50100,21,2942,716,267,117
50113,36,15988,3107,369,160
50114,34,1264,368,253,112
50131,29,847,223,8824,1447
50132,39,831,244,7708,1948
50136,32,1031,325,1320,415
50138,30,1754,658,847,247
50139,22,9606,1745,275,91
50142,26,1585,469,738,248
50148,42,1116,275,7367,1253
50162,24,579,214,8540,2399
50167,34,6607,1635,492,194
50184,42,4916,976,5430,809
50187,30,293,126,1217,439
50193,27,3840,519,2722,839
50201,31,4932,1041,2316,605
50224,34,1169,329,4552,960
50259,28,4539,744,773,268
50270,30,289,94,444,183
50280,32,7126,1406,3925,910
50296,29,693,247,3104,686
50307,34,288,111,577,224
50309,30,516,170,294,119
50324,23,315,145,200,82
50328,45,7817,1702,8890,1272
50332,34,6570,1551,5944,1131
50338,32,300,111,1313,260
50348,34,428,147,6147,978
