Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
10040,20,5565,1252,250,89
10128,29,247,114,719,199
10193,32,7657,1811,5432,943
10343,34,12462,2707,367,165
10360,35,626,136,12449,1610
10376,29,3341,959,534,220
10379,28,233,92,226,64
10402,36,297,90,959,287
10470,30,4814,1079,3059,599
10471,28,418,190,2420,542
10592,25,319,109,5048,755
10609,17,750,229,326,107
10647,29,233,100,2711,373
10670,28,873,222,3070,763
10711,27,1426,369,4744,783
10717,23,873,196,983,302
10767,24,866,281,9350,2212
20091,33,406,132,6340,1076
20114,22,360,142,3245,583
20128,21,293,80,251,98
20435,42,3949,983,1823,421
20440,24,486,202,237,138
20477,32,1628,572,2494,645
20669,30,8086,1652,305,117
20678,26,14424,1942,342,121
20682,19,2687,390,277,94
20692,34,7161,1376,315,94
20730,36,4881,1038,3710,556
20747,23,338,145,260,77
50056,23,3410,616,1511,396
50114,30,2855,734,223,85
50131,33,806,178,9365,1157
50132,27,832,254,7683,1454
50136,31,866,309,1397,441
50138,27,2380,727,261,116
50167,29,6648,1868,533,257
50296,29,627,196,2818,552
50332,33,5328,1112,5048,913
50356,33,575,173,13058,1176
50370,37,309,134,216,92
50373,30,6675,1459,240,67
50440,19,259,137,274,168
50497,30,309,157,886,276
50543,34,914,149,9955,1481
50706,41,4375,982,2204,419
50750,32,1005,282,1960,319
50767,23,4310,981,288,137
60053,22,317,140,1798,335
60102,39,13558,2801,325,95
60138,29,556,154,5738,1172
60148,32,248,109,251,106
60184,32,301,91,6459,1284
60209,30,9305,1806,275,67
60358,33,4176,861,3292,686
60373,38,932,195,377,163
60463,30,10422,2160,2842,754
60551,31,829,288,282,124
60554,29,4943,866,1964,388
60653,35,281,118,895,268
60692,30,3604,749,26630,2995
70025,21,3468,564,273,96
70059,34,6469,1207,5486,649
70167,24,4836,840,12098,1063
70273,27,3221,554,1777,332
70286,41,6357,1506,348,160
70364,29,8870,1573,9670,1033
70370,33,319,150,4143,795
70379,43,776,185,4272,967
70392,28,302,119,3138,518
70424,32,275,121,181,63
70440,28,6262,1044,4358,604
70441,38,3091,685,880,194
70452,35,313,95,2959,456
70465,32,278,94,7929,1313
70471,33,2271,540,3449,729
70608,31,9482,1666,2481,313
70750,40,7243,1391,8521,1036
70753,35,344,154,216,81
110079,32,2988,661,252,128
110082,33,443,168,312,107
110142,33,7901,2288,8677,1874
110201,28,2476,459,1331,289
110296,30,310,110,3917,1213
110403,22,2172,497,9859,1488
110445,34,531,191,3165,693
110477,36,742,259,5574,1089
110500,33,6945,1301,309,129
110626,29,375,169,3149,909
110678,40,7514,1563,1114,360
110709,25,543,170,685,150
110739,23,297,94,2315,516
110746,32,495,100,5123,761
110767,31,12383,1980,429,153
130044,45,681,201,960,345
130121,39,7883,1467,4155,635
130128,38,3346,571,624,238
130196,35,7634,1880,308,140
130224,26,4381,976,299,139
130274,23,5839,1174,304,157
130341,37,1109,382,444,133
130373,24,4228,481,4181,680
130402,45,4368,823,2966,437
130414,32,6027,1288,241,83
130471,24,5136,856,778,189
130626,36,1857,365,2224,236
130747,29,5236,896,2730,537
130754,29,223,98,229,104
130762,27,1115,238,386,132
130768,27,1095,502,244,114
150070,23,4362,1023,273,135
150152,33,5364,981,1500,399
150162,30,5182,1334,264,110
150164,41,7582,1353,2576,644
150349,26,1540,281,1208,325
150427,38,302,112,2308,478
150438,25,298,128,275,97
150484,41,2780,445,12444,1262
150500,32,326,119,711,191
150600,23,275,76,6842,968
150682,19,315,93,1244,304
150722,28,5741,1249,335,127
160022,29,10694,2033,6238,890
160064,36,839,266,9270,1734
160068,34,4429,757,6914,1215
160114,34,231,93,1081,358
160131,25,1175,363,302,114
160139,26,534,161,4037,599
160168,22,772,219,602,163
160253,22,2222,614,3395,667
160356,28,426,175,2456,535
160468,26,335,166,1326,413
160707,20,4381,919,295,84
240047,41,6011,854,8416,935
240056,30,1080,271,266,111
240093,39,552,153,14984,1921
240136,19,3734,618,305,124
240138,39,6158,1379,374,155
240220,30,364,100,300,142
240301,37,8663,1643,2097,551
240332,20,2166,568,229,83
240408,21,8909,1434,434,93
240440,32,326,140,439,183
240519,35,6022,1475,313,126
240609,29,8809,1754,1291,520
240703,45,8994,1736,378,176
240739,32,251,107,219,83
270019,34,1640,342,209,109
270025,38,1532,322,1414,379
270064,31,2310,669,231,87
270241,16,3214,575,341,160
